Archean_Early_Mesoproterozoic_Faults,Felsic_granite,Mesoproterozoic_strata
0.9447490903834902,0.9846496944960192,1.0
0.987963602795058,1.0,1.0
0.9327913470028971,1.0,1.0
0.9467995674354068,1.0,1.0
0.9069856153363576,0.9809354109190782,1.0
0.9933395281408115,0.9185185976600028,1.0
0.8791775147181649,1.0,0.9962946683284741
0.9467621037569093,0.9975329766928802,1.0
0.7998040127117163,0.9797421155107533,1.0
0.9744574395886507,1.0,1.0
0.9920212915460687,1.0,1.0
0.8460671694293492,0.9932780687026576,1.0
0.8492135387248955,0.9441240835478895,1.0
0.9422971637054489,1.0,1.0
0.9847669439891431,1.0,1.0
0.9555732844556923,0.968970637023916,1.0
0.8622474992062974,1.0,1.0
0.8106658292826029,0.9116084615698502,0.8702968026508731
0.9376035844387393,0.9529853845687363,0.9553419571984176
0.8011600079914052,0.9802584098677944,1.0
0.9186747247849376,0.9935546740871398,1.0
0.9615261095593355,1.0,1.0
0.8739931715947702,1.0,1.0
0.760189936302293,1.0,1.0
0.7882207228591136,0.96873308531364,1.0
0.8667886627140171,1.0,1.0
0.9505054695011902,1.0,1.0
0.9991747921728815,1.0,1.0
0.6930100583583534,0.7932428263823984,0.7226917397301482
0.7524567838524803,0.8253992487354493,0.792746416926509
0.8230424135379442,0.8597084330883381,0.8525467485452496
0.9655367850943799,0.9728302829679432,0.9320683682965955
0.9774667011857399,0.9842551538523825,0.9569910972757607
0.9816941039232225,1.0,1.0
0.9109456425314121,1.0,1.0
0.7451652354985581,1.0,1.0
0.7739926388944687,1.0,1.0
0.8673017303847457,1.0,1.0
0.9203110111382804,1.0,1.0
0.1381412277528563,0.4800484372758107,0.5900389251299222
0.29492778509682926,0.5604389751474073,0.6554404932535371
0.43425331132188194,0.627725567035291,0.6687608412765547
0.5477202226612953,0.6845379656896766,0.6398077037376984
0.619821528034704,0.7105739092341599,0.6437994572728738
0.7849483577106033,0.8242117489497855,0.7742151310263647
0.8712656006714353,0.9127547498397871,0.9039288793348211
0.8574553583014981,0.96924757229924,0.9710123303199808
0.8855400509507089,1.0,1.0
0.8809523433739094,1.0,1.0
0.7396161222464799,1.0,1.0
0.8735196556804649,1.0,1.0
0.978410150294428,1.0,1.0
0.9194578786398653,1.0,1.0
0.15171814618455592,0.4077742862635749,0.7119963854003621
0.31007015724279474,0.518324766833113,0.8104563917959965
0.45132843218556684,0.616941576780693,0.8255876260153098
0.566603584024072,0.697418757640659,0.7958496591487211
0.6300145964141108,0.741687975206101,0.7028698225122735
0.6765446009604541,0.7741701995560059,0.6752998650808044
0.7049060847718771,0.8134084666265282,0.7633629255333705
0.7271015686764242,0.8982219544136785,0.8451353834208664
0.743344176355694,0.9881347932922518,0.9723997361223098
0.7938796544630065,0.9973643183348565,1.0
0.8806104092079738,1.0,1.0
0.9837895204466732,1.0,1.0
0.8909302024192319,1.0,1.0
0.7591875795725789,1.0,1.0
0.22079538352146488,0.4559992613237449,0.7967443478470135
0.39702270418479135,0.579029053358705,0.9607231458581115
0.565695964753697,0.6967851203041731,0.9996371833862213
0.7253844512935179,0.8082686361144443,0.9498210331930013
0.8044962516796623,0.863499058976529,0.7783540900128938
0.8571921667306442,0.9002866906384785,0.7897799406869248
0.8876121512755201,0.9215232590046375,0.8514693207322319
