DEM_9s_dx,DEM_9s_dy
-2.460446,0.15290126
7.726582,-7.9941554
0.4293218,2.5098586
-11.85279,34.8948
5.3873568,3.4223034
-19.721607,-5.378792
-4.1065927,1.3171346
8.305752,-2.277773
5.158705,12.668922
-2.7093415,17.668278
0.076612175,6.564509
-13.091404,-2.9617572
1.3112884,-0.5156091
0.14601596,0.12673996
-0.89174503,1.8163073
-0.38473144,1.058254
-8.623417,-1.7162727
-0.16115765,1.268377
1.4413993,0.70201856
12.151314,-8.356491e-05
-1.1129932,0.12286771
2.0538511,-3.9671319
-2.768004,2.220298
-12.754867,-1.4965872
0.75843865,2.8230655
-2.9643726,9.065923
31.397255,41.686203
3.4032962,7.4419656
15.530662,25.739408
2.107342,2.4534512
-15.954308,-16.678986
7.042768,35.927006
-0.020553691,-2.8315792
-1.4443644,-10.889724
10.373257,14.757331
-2.5011487,-1.6928512
17.916098,-2.7379081
1.025314,2.8031437
-10.258634,-2.436169
-0.51268464,0.98999923
0.18214898,9.093036
-9.639876,-12.781905
-7.428381,3.2112308
5.210941,4.8491745
2.5832047,2.7528493
-2.154387,0.4356854
-9.683954,-11.39715
-11.690227,-1.7242157
-7.835709,9.29243
-6.571074,7.527223
14.592207,-16.415735
13.336629,4.0210004
0.29024184,2.5838413
0.9456689,-2.1720865
5.8034987,13.303702
-1.0635364,0.46668673
-2.078983,-0.79045236
-16.877522,11.287084
-2.1715524,8.622278
6.143097,1.0748069
0.9903656,7.583678
14.421298,-6.5769877
23.491274,56.135685
-9.7071495,-15.821065
-18.646013,-8.744973
0.86520916,3.8343718
1.6731347,0.1770991
-17.218048,-6.6940036
5.3708878,7.01851
-0.00585428,0.20034829
0.7612166,2.2769935
-1.2139745,-0.9849788
26.96897,-2.9605672
16.631063,4.293297
4.2759686,7.6464744
-4.336186,-24.7255
-0.9980778,15.449273
-4.715076,8.557706
-5.8270597,-2.3838434
-7.366573,-21.298023
-29.465559,-11.329071
-14.090964,-14.424228
-0.027912524,7.308433
-1.4617321,1.2542783
26.045748,-25.84233
-29.980843,-28.125051
-7.219608,7.6799593
22.512663,-27.391743
0.57896334,3.1813436
-0.06850848,-13.379079
-1.212381,27.156767
1.1444691,2.5455067
1.329981,-0.63663036
-11.146538,8.792439
-1.0332233,1.6321764
2.0481443,4.207146
1.6543413,18.916723
7.6446877,7.0883265
-13.811277,1.2705036
0.9492642,-1.3499159
2.1349452,-2.8110476
15.3188095,46.68623
-1.0463624,10.2596655
-0.661404,-0.13454786
-12.608232,-15.830651
-24.131516,-31.861046
0.06461345,1.9778017
0.41566238,0.8115585
-5.527138,0.09176656
-19.834667,-12.165363
-17.62358,-10.443962
-0.31264362,-6.7403173
50.03511,-3.2590857
-1.5227098,-4.1860423
-17.38839,-19.241259
-11.661207,37.902264
-2.2229056,-1.9081712
-1.5060441,7.6767464
-1.4659809,1.4600862
-6.614194,4.5028462
4.9391437,1.1496183
2.4709046,-5.9597454
-8.07986,-12.348544
0.7927504,1.0334412
2.2428043,7.504025
1.7866426,-4.51918
-1.1732509,1.0015544
-12.721252,4.703663
3.0684443,16.60159
4.5719037,2.2108119
2.1636152,0.32901216
2.7327626,5.843119
3.8145928,-1.6483648
44.52715,-4.7426643
-5.9485016,4.7265925
-17.709364,-23.00813
-1.8263288,-16.507853
0.04496496,0.39994475
-2.2669895,2.702886
18.76981,41.29908
8.167358,5.7927628
-16.093649,-9.440984
0.6583486,2.40141
47.793324,-4.9648676
-14.090964,-14.424228
-10.477451,-2.0100193
-9.868523,-5.5270405
0.15866509,0.14417759
3.5309985,0.35980123
-12.96099,-20.793108
-12.886361,3.6092985
9.328565,-0.012389983
9.866275,-2.9391298
3.263443,8.095953
-2.4516118,-1.5757378
1.8969159,3.1118064
-0.96908444,-0.2720792
-6.4710093,4.062513
-6.5857754,-6.8211274
-1.1886716,-0.04284463
-11.886796,-2.2340503
-16.257214,-21.340721
-0.40473518,7.685849
-1.3097183,-18.801434
-17.804258,-6.1172047
-9.912142,-15.098327
-9.924744,-14.027198
-18.563753,-19.947403
-2.2247097,0.05663192
2.253224,6.052416
-2.9171252,0.7261042
-3.5981867,7.661626
-2.903553,5.532622
-1.3645554,2.200419
39.71754,-28.939816
-9.391652,-10.058679
14.49514,-6.8560066
10.008721,-8.810116
3.9557097,9.614942
-11.4243,-1.7127429
-3.4145882,10.319461
-0.6528149,2.878337
-13.302228,-2.1019394
-3.1303334,-0.91173106
5.343402,-1.4837995
0.33156794,-1.8387363
3.9360745,-3.1823578
-17.300125,-3.2995734
-17.38714,1.968669
1.2362329,1.6948488
-3.2866435,0.2508602
5.1875134,3.8526037
-9.654507,-12.363763
-2.4846454,-0.79545903
43.46718,-44.608063
-0.31065938,4.602715
7.720134,1.1054076
17.566301,-12.514675
0.63619566,0.6453364
2.405113,9.551192
-12.037255,3.766076
-0.70308155,0.34306315
-7.303538,-11.7515
-2.6871505,-16.918028
-0.8914176,5.0019865
40.81145,-27.955544
-1.3319311,0.08900646
0.44431734,-5.5676985
-19.834667,-12.165363
-14.147394,3.1997805
-2.9950857,-5.513578
-1.2568747,0.6805051
-9.188633,7.9042053
0.29100335,1.7483666
-0.34616262,1.9660366
-9.415739,11.453736
-5.699958,19.739618
23.911217,-0.9291169
-2.3639061,0.21870402
6.7705073,-0.13832533
-0.09536759,0.30556065
-1.3016435,-8.789172
6.1282063,6.6691623
3.8477082,8.951225
-1.8553114,-12.023266
-13.355406,5.925183
2.7701936,0.61747026
-1.6231439,-6.1469207
-0.28591633,0.74867064
-5.097329,0.4172228
0.20728604,2.146741
-7.974014,10.167017
-5.52258,1.882901
3.9557097,9.614942
36.48386,-18.291092
-2.5353858,-1.897741
0.588807,3.4947367
-1.2272658,31.4584
-0.51869476,-2.2952976
-18.725359,-23.323084
-2.2617774,4.390453
-13.62541,-6.704436
-0.17922421,0.656474
-1.9386646,-10.261975
-15.600392,-7.326634
2.0720963,1.4969255
-3.2483566,-0.49461457
-0.04292369,4.2812424
-8.284083,-7.2285547
-4.1965322,3.1791942
-6.6893063,-5.2070336
-8.127572,-11.668754
-0.29651427,1.5772302
31.153923,-25.503458
0.42977127,6.1686044
0.5026007,-5.721963
-10.486212,-18.150852
4.128938,0.32700506
4.5290585,-0.7091226
-2.2709575,-13.5168295
-28.40025,-8.468719
-25.018246,-40.951946
-0.34457833,4.2236466
7.4573784,9.62538
-3.453239,-14.437172
-9.3200245,4.0740223
-9.726234,0.28739995
-0.54552096,1.7625493
-6.9389343,-2.692866
-1.1807691,2.618833
-4.83838,-9.52208
-4.8326406,2.096724
-27.651176,-23.85452
-2.9044986,-7.1683555
-7.289666,10.238291
0.5023007,4.7047863
40.56315,-25.846989
-0.99749285,-2.7865126
5.448047,0.048544146
-9.249941,5.1089783
-5.2419467,-6.65955
-2.0765076,1.599969
0.5381484,0.15324438
-3.9553838,6.479043
7.430588,10.703842
-9.639501,-14.108661
-7.762281,-12.363379
-7.409926,-19.293802
29.59546,-5.094013
-2.3387303,0.35200328
2.4423647,1.0161352
-2.2608562,43.87928
1.2215242,9.310533
0.48903322,42.199577
-1.2602775,1.2700472
-2.581987,-0.06058277
-5.7959423,0.2774519
-11.01435,-0.65705603
2.923794,0.5654614
-5.6862373,-11.237986
-0.26047716,6.5271254
-5.7750564,3.6113105
0.78340876,53.7632
5.0930214,3.9453166
-2.5960464,0.11865306
0.3616969,3.0890956
10.884181,-15.862003
-7.319175,-21.462044
3.5734727,50.711014
-8.766553,5.4740095
61.64385,15.725971
7.7333016,0.92886823
-5.086583,5.9219866
-2.0824242,1.2834749
-1.9930805,2.2907684
-20.195984,-2.7975276
-1.067962,-0.621192
34.02945,-35.677826
-26.45734,-33.13336
-36.0955,-18.900408
-7.6584554,-1.4040353
6.9806137,11.5760145
-0.6672864,2.777501
-4.326221,-4.6102934
-16.895687,-19.67072
-10.400645,3.3467245
-9.054932,-12.853391
-3.7610452,-4.9448576
-0.12337458,-9.37877
-7.046679,0.10612196
-2.7328737,-0.08804316
-17.696375,-10.441174
13.650374,-0.7355238
15.805963,0.5295164
0.46359766,0.0034021467
-5.5750113,-0.48144305
-7.1926517,-9.895714
-11.303511,-14.201074
2.5144496,3.9898272
-4.3250413,-3.8139346
58.76072,-4.2151704
-2.1715524,8.622278
-23.361612,-10.909569
-9.95798,-3.3640926
10.338442,36.360825
-18.428078,-21.351173
-4.3358417,-5.3181458
36.979263,-25.649048
-17.581062,-7.614756
15.40529,-10.764327
-1.7468829,0.6568914
-0.028582783,0.26885706
-10.712283,-12.28221
-1.5522211,-7.314826
-2.20969,2.4626184
-17.94957,13.795198
-2.1196737,59.430172
8.565351,11.585312
-1.7739109,0.45330375
2.2077198,1.5639974
-13.682825,-19.00354
-4.5701456,4.8943233
8.071144,26.182793
-1.7444282,1.0012801
5.4931064,2.0902631
2.5010757,39.675697
-4.5143313,-5.3896875
6.782206,-0.48117822
-4.0545917,5.7393785
0.7197987,2.0305808
55.720203,2.858772
-1.0690299,1.2393649
7.3775496,0.6881808
-21.416971,-10.357581
-0.30643842,0.5556895
29.415812,40.29201
-1.817482,1.3769001
4.2081833,2.112736
3.1653554,5.093273
-5.640467,-7.7997537
48.94639,-4.019941
0.014119756,1.2849611
8.891305,10.210724
-1.6159418,-1.9545546
9.364194,54.714546
-10.307131,3.3625336
-5.062446,-2.3912644
-1.75793,8.220076
-2.0508025,-2.0633647
-10.134318,-13.048714
-20.592524,-34.72969
-0.3932491,-7.452187
-3.2615435,-2.6977212
-1.9233222,1.2207404
-0.870776,0.74202365
-10.984955,4.7636333
-12.71884,8.236833
12.888958,-11.456566
4.456288,3.3493545
-2.226417,3.9337044
-2.8536572,-1.2897761
-13.758751,-10.920554
-13.347274,-12.224533
-7.6507545,3.690269
4.088244,12.1920185
32.956554,-40.2344
1.3420244,0.24529088
-2.5960464,0.11865306
1.3936743,4.7167196
-0.21651766,-1.8577256
-8.013318,-1.4643042
-12.613697,-4.956995
6.123954,8.651341
-0.69949216,1.041284
-5.896884,3.073766
4.422263,32.80664
-0.79193103,-0.23082656
-4.181869,1.8326154
41.170853,-27.705776
-5.601832,-5.841565
1.8623854,-1.4047136
-12.82484,-1.8356586
-9.672914,-0.01974477
5.5290575,8.752159
