X,Y,V1,V2,V3,V4,V5,V6,V7
139.3407267,-30.19715752,-0.756352401,0.066821046,-0.186374565,0.112234714,0.761256472,0.100302309,0.003014525
139.5108411,-30.10026088,1.805686113,-5.373718009,1.28565012,-2.150980489,-0.250033105,2.284508168,-4.873247614
139.6889817,-29.8945535,-0.957111454,15.5735346,-4.727658716,7.879183845,-1.186020373,-0.549757252,-4.570757217
139.6502494,-29.88985612,2.064967803,1.184242663,1.619867955,1.535859347,0.312823874,-2.441738783,0.960596745
139.3985215,-30.19726497,-0.756352401,0.066821046,-0.186374565,0.112234714,0.761256472,0.100302309,0.003014525
139.5944711,-29.89752991,4.0056165,-0.671517565,-4.492935585,-0.459459188,1.312182143,-5.473136545,-0.14398424
139.4957448,-30.04454992,-0.756352401,0.066821046,-0.186374565,0.112234714,0.761256472,0.100302309,0.003014525
139.4712689,-30.14462816,2.153951849,1.785292733,-3.652302729,-4.175650097,0.572505719,-1.261992132,3.126097013
139.5857937,-29.86028074,6.945084608,-7.267489072,-3.7246304,4.216158033,-2.150908655,0.890416002,0.503278005
139.320773,-30.14986781,-0.756352401,0.066821046,-0.186374565,0.112234714,0.761256472,0.100302309,0.003014525
139.5494474,-29.9230632,-0.756352401,0.066821046,-0.186374565,0.112234714,0.761256472,0.100302309,0.003014525
139.4945807,-30.04615821,-0.756352401,0.066821046,-0.186374565,0.112234714,0.761256472,0.100302309,0.003014525
139.7136316,-29.97517925,3.071914925,-3.081011738,-2.416806338,-0.712303596,1.072503892,2.471668334,0.151131805
139.6620086,-29.87611194,3.537424239,4.101275626,1.47362576,0.683289094,2.177235611,-4.987742562,3.06076049
139.3566976,-30.19506723,1.526013378,-2.816472894,2.275708725,2.040447273,-1.087153425,-3.961345892,-1.399528185
139.6249564,-29.94882415,-5.265487261,2.708515395,6.815583044,2.332299906,-4.67615283,0.367895421,5.12414498
139.6544951,-29.99112996,3.145098173,1.018399509,1.554212946,-1.871736937,-1.913765352,-1.757807646,-2.015962514
139.5780026,-30.03299941,-4.695138628,6.702220273,-5.336547412,7.24741099,-3.60146475,-7.468219899,-2.874130699
139.5808044,-29.87274018,6.173469353,-0.939868446,-5.008770164,2.590602925,-1.011210118,-2.026716166,-0.847616652
139.4752029,-30.14174083,1.802273709,1.815150039,-3.246051599,-4.180403004,0.239952353,-0.371111127,2.388696295
139.6759425,-29.88400227,-0.512592671,6.64835768,-0.02220303,2.737709587,-1.837550081,-3.034045712,-1.104372257
139.5818205,-30.01780072,-0.756352401,0.066821046,-0.186374565,0.112234714,0.761256472,0.100302309,0.003014525
139.6843405,-29.99312528,0.750412473,-1.813058817,1.577218318,-3.007964755,-0.166234763,-0.681121053,0.797157015
139.3342231,-30.21358852,-1.903629387,3.279131006,-1.059127456,0.444679113,-2.573258915,2.41044989,-2.593372213
139.6638876,-29.85507844,-0.756352401,0.066821046,-0.186374565,0.112234714,0.761256472,0.100302309,0.003014525
139.4088095,-30.22156913,-0.756352401,0.066821046,-0.186374565,0.112234714,0.761256472,0.100302309,0.003014525
139.2939002,-30.16321774,1.426129078,-0.870546011,-2.503703252,-1.806182626,1.846702651,-0.663322643,-3.37860157
139.4567565,-30.09766382,4.129994008,8.768826012,0.516488877,3.117916034,-15.89673627,-0.159386349,-0.045106541
139.5758491,-29.89524649,4.173742686,-3.867419511,-9.051841375,-0.932382133,3.868641932,-2.849342636,-1.87351506
139.5746735,-29.84441111,-0.756352401,0.066821046,-0.186374565,0.112234714,0.761256472,0.100302309,0.003014525
139.5895869,-29.83254073,-0.756352401,0.066821046,-0.186374565,0.112234714,0.761256472,0.100302309,0.003014525
139.4934488,-30.04513204,-0.756352401,0.066821046,-0.186374565,0.112234714,0.761256472,0.100302309,0.003014525
139.4666776,-30.12560872,3.823930932,-2.470063935,-2.431968937,-5.440926084,-1.04784399,3.824420995,2.905374762
139.5986843,-29.87334723,-0.756352401,0.066821046,-0.186374565,0.112234714,0.761256472,0.100302309,0.003014525
139.6766209,-30.00404603,2.51263519,0.368885999,2.291543915,-2.994879985,-0.279718776,-1.358395741,0.669561005
